instance,size,class,level,seed_idx,status,objective,n_emergencies,n_outsourced,n_outsourced_infeasible,n_outsourced_economic,n_inserted,frac_outsourced,outsourcing,tw_penalty,completion_penalty,W,LAMBDA,PI_S,PI_C
030_C107,30,C,6,9,OPTIMAL,84.6609,6,3,2,1,3,0.5,78.4597,0.0,6.2012,80,0.5,2.0,1.0
030_C108,30,C,2,0,OPTIMAL,64.2961,2,2,2,0,0,1.0,64.2961,0.0,0.0,80,0.5,2.0,1.0
030_C108,30,C,2,1,OPTIMAL,74.1059,2,2,1,1,0,1.0,74.1059,0.0,0.0,80,0.5,2.0,1.0
030_C108,30,C,2,2,OPTIMAL,60.547,2,1,1,0,1,0.5,36.821,0.0,23.7261,80,0.5,2.0,1.0
030_C108,30,C,2,3,OPTIMAL,40.9746,2,1,1,0,1,0.5,37.4056,0.0,3.569,80,0.5,2.0,1.0
030_C108,30,C,2,4,OPTIMAL,36.1448,2,2,1,1,0,1.0,36.1448,0.0,0.0,80,0.5,2.0,1.0
030_C108,30,C,2,5,OPTIMAL,42.1468,2,1,1,0,1,0.5,39.4381,0.0,2.7087,80,0.5,2.0,1.0
030_C108,30,C,2,6,OPTIMAL,57.1303,2,2,1,1,0,1.0,57.1303,0.0,0.0,80,0.5,2.0,1.0
030_C108,30,C,2,7,OPTIMAL,37.027,2,2,1,1,0,1.0,37.027,0.0,0.0,80,0.5,2.0,1.0
030_C108,30,C,2,8,OPTIMAL,46.2021,2,1,0,1,1,0.5,33.9965,0.0,12.2056,80,0.5,2.0,1.0
030_C108,30,C,2,9,OPTIMAL,24.7618,2,0,0,0,2,0.0,0.0,0.0,24.7618,80,0.5,2.0,1.0
030_C108,30,C,4,0,OPTIMAL,94.4128,4,4,4,0,0,1.0,94.4128,0.0,0.0,80,0.5,2.0,1.0
030_C108,30,C,4,1,OPTIMAL,54.9468,4,2,1,1,2,0.5,39.8174,0.0,15.1294,80,0.5,2.0,1.0
030_C108,30,C,4,2,OPTIMAL,75.2484,4,2,2,0,2,0.5,60.8982,0.0,14.3502,80,0.5,2.0,1.0
030_C108,30,C,4,3,OPTIMAL,67.5638,4,2,0,2,2,0.5,50.4058,0.0,17.158,80,0.5,2.0,1.0
030_C108,30,C,4,4,OPTIMAL,49.0306,4,3,0,3,1,0.75,47.1988,0.0,1.8318,80,0.5,2.0,1.0
030_C108,30,C,4,5,OPTIMAL,132.1603,4,4,3,1,0,1.0,132.1603,0.0,0.0,80,0.5,2.0,1.0
030_C108,30,C,4,6,OPTIMAL,103.4293,4,3,3,0,1,0.75,102.8578,0.0,0.5716,80,0.5,2.0,1.0
030_C108,30,C,4,7,OPTIMAL,66.8032,4,3,3,0,1,0.75,55.7073,0.0,11.0959,80,0.5,2.0,1.0
030_C108,30,C,4,8,OPTIMAL,75.1375,4,3,1,2,1,0.75,74.3183,0.0,0.8192,80,0.5,2.0,1.0
030_C108,30,C,4,9,OPTIMAL,24.0469,4,1,0,1,3,0.25,17.9849,0.0,6.062,80,0.5,2.0,1.0
030_C108,30,C,6,0,OPTIMAL,76.3859,6,3,3,0,3,0.5,72.7617,0.0,3.6242,80,0.5,2.0,1.0
030_C108,30,C,6,1,OPTIMAL,104.2224,6,4,2,2,2,0.6667,90.1995,0.0,14.0229,80,0.5,2.0,1.0
030_C108,30,C,6,2,OPTIMAL,107.8785,6,3,2,1,3,0.5,84.9981,0.0,22.8805,80,0.5,2.0,1.0
030_C108,30,C,6,3,OPTIMAL,75.1604,6,3,1,2,3,0.5,51.2562,0.0,23.9042,80,0.5,2.0,1.0
